,1.2만,4년 전,와 개좋네        
@dusty_lusty7375,0,4년 전,개좋
@user-ix2yx1rf6o,3,4년 전,히힣 뽀큐 
@user-vm3oj6vj7r,5,4년 전,킫밀 트렌드는 진짜  
@3rachasupremacy53,1,3년 전,                      
@user-gx5jz6mh2i,2,4년 전,압도적 섹시함 시원한 가성 훅이 지리는 사람      사이먼도미닉
@CM-kh7yb,7,4년 전(수정됨),                                                                     
@d0ve16,11,4년 전,키가큰 남자 춤선이 이쁜남자 목소리가 좋은남자 노래를 잘하는 남자 우리 이쁜 요한이     응 김요한
@user-nd2lk4fn1x,0,4년 전,   락스타네 요한이형
@hyun000-ww,2,4년 전,지금까지 들은 한요한노래중에 젤좋더 훅미첬어 
@user-ug9ib4tr6h,16,4년 전,반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려라 추락한 나를 봐 눈앞에서 멀어지는  너의 속도는      로 너의 속도는      로 너의 속도는      로   눈앞에서 점이 되어버려 부질없는 것이 되어버렸어 대체 누가 쉽다고 말을 해 내 기억 영혼까지 전부 가져가죠 왜 내 숨이 나를 턱 끝까지 몰고 가네 왜 사라지는 나를 보는 기분이란 건 어때 사라지는 너의 속도 어림잡아    킬로 정도 돼 보여 뒤돌지 말고 가 지금 난 좀 사이코야 이럴수록 니가 필요하면 넌 다 알잖아  또 숨을 참는 나 곧 죽어가는 난 난 너를 지켜줄게 나를 지나갈 동안 조금씩 멀어지는 상태 두 눈을 감고 뜨면 사라질 것 같애 수많은 기억들을 돌고 돌아 너는 다시 우릴 마주칠 수 있나   반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려라 추락한 나를 봐 눈앞에서 멀어지는  너의 속도는      로 너의 속도는      로 너의 속도는      로   잘못된 길에 빠진 듯이  괜히 왔어 제자리로 다 알면서 왜 다시 여기 어제의 너는 너가 아닌 듯이  분홍빛의 환상인 듯 그래 원래 이게 나였었지 변하는 건 없어 별다를 것 없고 못 꺼낸 말은 많아도  지나쳐 버린 후고 우리는 뭐 옆자리에서  반대 자리 다른 종점      로 가장 너와 가까울  마지막일 걸 지금이 난 너가 지나간 길을 걍 멍히 보고 있을 수 밖에 죽여 찬 공긴 날 쟤넨 내 아픔도 다 남의 거라 하니까 난 입을 꾹 닫네 너의 등 앞에 원하는 건 없어 사랑은 더 없고 다친 나의 마음에 비해 너무 빠른 너의 발걸음 원하는 건 없어 사랑은 더 없고 다친 나의 마음에 비해 너무 빠른 너의 발걸음   반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려라 추락한 나를 봐 눈앞에서 멀어지는  너의 속도는      로 너의 속도는      로 너의 속도는      로 너의 속도는      로 너의 속도는      로
@BadMouth,1,4년 전,와 개좋네        
@user-mr2sf3nh2g,57,4년 전,반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려 다 추락한 나를 봐 눈앞에서 멀어지는 너의 속도는      로 너의 속도는      로 너의 속도는      로  눈앞에서 점이 되어버려 부질없는 것이 되어버렸어 대체 누가 쉽다고 말을 해 내 기억 영혼까지 전부 가져가죠 왜 내 숨이 나를 턱 끝까지 몰고 가네 왜 사라지는 나를 보는 기분이란 건 어때 사라지는 너의 속도 어림잡아    킬로 정도 돼 보여 뒤돌지 말고 가 지금 난 좀 사이코야 이럴수록 니가 필요하면 넌 다 알잖아  또 숨을 참는 나 곧 죽어가는 난 난 너를 지켜줄게 나를 지나갈 동안 조금씩 멀어지는 상태 두 눈을 감고 뜨면 사라질 것 같애 수많은 기억들을 돌고 돌아 너는 다시 우릴 마주칠 수 있나  반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려 다 추락한 나를 봐 눈앞에서 멀어지는 너의 속도는      로 너의 속도는      로 너의 속도는      로  잘못된 길에 빠진 듯이 괜히 왔어 제자리로 다 알면서 왜 다시 여기 어제의 너는 너가 아닌 듯이 분홍빛의 환상인 듯 그래 원래 이게 나였었지 변하는 건 없어 별다를 것 없고 못 꺼낸 말은 많아도 지나쳐 버린 후고 우리는 뭐 옆자리에서 반대 자리 다른 종점      로 가장 너와 가까울 마지막일 걸 지금이 난 너가 지나간 길을 걍 멍히 보고 있을 수 밖에 죽여 찬 공긴 날 쟤넨 내 아픔도 다 남의 거라 하니까 난 입을 꾹 닫네 너의 등 앞에 원하는 건 없어 사랑은 더 없고 다친 나의 마음에 비해 너무 빠른 너의 발걸음  원하는 건 없어 사랑은 더 없고 다친 나의 마음에 비해 너무 빠른 너의 발걸음 반쯤 미쳐가는 나 망가져 나의 삶 넌 내게서 나를 지워가고 또 나를 부셔버려 다 추락한 나를 봐 눈앞에서 멀어지는 너의 속도는      로 너의 속도는      로 너의 속도는      로 너의 속도는      로 너의 속도는      로
@ZZ-ce2pd,4,4년 전(수정됨),     밀리형     킬로로 치였어  
@user-mz8xk2gr7h,18,4년 전,키드밀리 옛날 세이클럽 아바타같네      
@haylyryanlilyjane,2,4년 전,                                                                                
@user-xe4mp6ru2i,0,3년 전,왠지          듣는 느낌      노래 개 좋네 
@chan_iii,65,4년 전,      말고     로 바꿔야 할듯
@user-fr7bl6mt9n,80,4년 전(수정됨),왜 썸네일   그리 닮았냐 
@Rialow2427,0,4년 전,가사가 마음을 울리는거같아 한요한 오빠의 목소리가 다했다   
@jsy794,0,4년 전,진짜 존나 좋네
@user-wj5ro1zg1s,12,4년 전,형 진짜로 밟으면 어떡해   
@blameonion,3,4년 전,노래좋은거    실화냐  진짜 힙합계 최강자들의 싸움이다   내가알던 한요한이맞냐  한요한은 진짜 신이다   
@HGS_99_cis,0,4년 전,개좋네
@user-gu3fo3yt9o,0,4년 전,와 너무좋다 
@user-nh8ei1yd6o,7,3년 전(수정됨),     터널에서 차선 변경하면 불법입니다 형님
@user-bw4iv5hd4b,5,4년 전,     나의 눈앞에서 멀어지는 노엘의 속도는      로
@user-dg6eb8ye3e,0,4년 전,노래     좋아
@d_gwon,1,4년 전,댄스때는 차가 빠지고 이번뮤비에서는 페라리 방전됬다는소식듣고 다시왔어요 무사시형
@_Soha,108,4년 전, 노엘 속도는      로 
@user-gm5lf8cm9q,6,4년 전,야 우주야 너 이거 듣고 있는거 안다 내 돈     원  월   일 까지 갚아라 안 갚으면 이자     원 이다
@user-lb3de1sm3o,1,4년 전,발라드충인 나에게 처음으로 힙합차트를 뒤져보게 해준 신선한 곡
@nurwardina1603,2,2년 전,                            
@user-nx9ns8tl8y,22,4년 전(수정됨),와 야 이건 알아야 된다 정독해     미안하다 이거 보여줄려고 어그로 끌었다 옛날에 아무도 아는 사람 없이 지코 이슬라이브에서 기타 치던 원숭이 맞냐     레전드다  힙합세계관 최강자의 노래다
@saphosapien,5,4년 전,                                           
@user-vw3tf2bm7k,0,4년 전,개좋아    
